Poll_ID,Pollster,Date,n,Period,party,share
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,CDUCSU,37
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,SPD,21
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,Gruene,10
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,FDP,6
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,Linke,9
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,AfD,12
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,BSW,NA
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,CDUCSU,37
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,SPD,20
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,Gruene,9
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,FDP,5
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,Linke,9
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,AfD,15
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,BSW,NA
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,CDUCSU,38
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,SPD,22
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,Gruene,10
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,FDP,5
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,Linke,9
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,AfD,12
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,BSW,NA
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,CDUCSU,37
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,SPD,20
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,Gruene,10
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,FDP,6
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,Linke,9
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,AfD,12
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,BSW,NA
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,CDUCSU,37
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,SPD,21
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,Gruene,10
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,FDP,6
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,Linke,10
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,AfD,12
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,BSW,NA
BT02170118Q,Forsa,2017-01-18,2503,09.01.–13.01.,CDUCSU,38
BT02170118Q,Forsa,2017-01-18,2503,09.01.–13.01.,SPD,21
BT02170118Q,Forsa,2017-01-18,2503,09.01.–13.01.,Gruene,9
BT02170118Q,Forsa,2017-01-18,2503,09.01.–13.01.,FDP,6
